demo,claim_id,claim_type,value,manuscript_loc,qc_artifact,analysis_table,source_data_manifest,verified_citation,provenance_score,match_confidence,auto_or_manual,claim_text
01_wisconsin_bc,C001,numerical,0.5,L9,yes,yes,yes,,complete,exact,auto,) with DeLong 95% confidence intervals; sensitivity and specificity at a 0.5 probability threshold were reported wit
01_wisconsin_bc,C002,numerical,0.998,L11,yes,yes,yes,,complete,exact,auto,"benign), logistic regression reached an AUC of 0.998 (95% CI 0.994–1.000), with sensitivity"
01_wisconsin_bc,C003,numerical,0.938,L11,yes,yes,yes,,complete,exact,auto,"AUC of 0.998 (95% CI 0.994–1.000), with sensitivity 0.938 (95% CI 0.850–0.975) and specificity 0."
01_wisconsin_bc,C004,numerical,0.991,L11,yes,yes,yes,,complete,exact,auto,sitivity 0.938 (95% CI 0.850–0.975) and specificity 0.991 (95% CI 0.949–0.998) at the 0.5 thresho
01_wisconsin_bc,C005,numerical,0.019,L11,yes,yes,yes,,complete,exact,auto,".949–0.998) at the 0.5 threshold, and a Brier score of 0.019. The random forest reached an AUC of 0."
01_wisconsin_bc,C006,numerical,0.996,L11,outputs_md,yes,yes,,complete,exact,auto,of 0.019. The random forest reached an AUC of 0.996 (95% CI 0.991–1.000) and the support-ve
01_wisconsin_bc,C007,numerical,0.997,L11,outputs_md,yes,yes,,complete,exact,auto,.000) and the support-vector machine an AUC of 0.997 (95% CI 0.992–1.000). All three pairwis
01_wisconsin_bc,C008,numerical,0.998,L47,yes,yes,yes,,complete,exact,auto,"= 171), logistic regression reached an AUC of 0.998 (95% CI 0.994–1.000). At the 0.5 probab"
01_wisconsin_bc,C009,numerical,0.938,L47,yes,yes,yes,,complete,exact,auto,"and 106 of 107 benign samples, giving a sensitivity of 0.938 (95% CI 0.850–0.975), a specificity of"
01_wisconsin_bc,C010,numerical,0.991,L47,yes,yes,yes,,complete,exact,auto,"tivity of 0.938 (95% CI 0.850–0.975), a specificity of 0.991 (95% CI 0.949–0.998), a positive predic"
01_wisconsin_bc,C011,numerical,0.971,L47,,yes,yes,,complete,exact,auto,"ative predictive value of 0.964, and an accuracy of 0.971. Its Brier score was 0.019, the lowest"
01_wisconsin_bc,C012,numerical,0.019,L47,yes,yes,yes,,complete,exact,auto,"of 0.964, and an accuracy of 0.971. Its Brier score was 0.019, the lowest of the three index tests."
01_wisconsin_bc,C013,numerical,0.996,L49,outputs_md,yes,yes,,complete,exact,auto,"ex tests. The random forest reached an AUC of 0.996 (95% CI 0.991–1.000), with sensitivity"
01_wisconsin_bc,C014,numerical,0.922,L49,outputs_md,yes,yes,,complete,exact,auto,"AUC of 0.996 (95% CI 0.991–1.000), with sensitivity 0.922 (95% CI 0.830–0.966), specificity 1.000"
01_wisconsin_bc,C015,numerical,1.000,L49,,yes,yes,,complete,exact,auto,"sensitivity 0.922 (95% CI 0.830–0.966), specificity 1.000 (95% CI 0.965–1.000), and a Brier score"
01_wisconsin_bc,C016,numerical,0.029,L49,yes,yes,yes,,complete,exact,auto,"icity 1.000 (95% CI 0.965–1.000), and a Brier score of 0.029. The support-vector machine reached an"
01_wisconsin_bc,C017,numerical,0.997,L49,outputs_md,yes,yes,,complete,exact,auto,". The support-vector machine reached an AUC of 0.997 (95% CI 0.992–1.000), with sensitivity"
01_wisconsin_bc,C018,numerical,0.922,L49,outputs_md,yes,yes,,complete,exact,auto,"AUC of 0.997 (95% CI 0.992–1.000), with sensitivity 0.922 (95% CI 0.830–0.966), specificity 1.000"
01_wisconsin_bc,C019,numerical,1.000,L49,,yes,yes,,complete,exact,auto,"sensitivity 0.922 (95% CI 0.830–0.966), specificity 1.000 (95% CI 0.965–1.000), and a Brier score"
01_wisconsin_bc,C020,numerical,0.020,L49,yes,yes,yes,,complete,exact,auto,"icity 1.000 (95% CI 0.965–1.000), and a Brier score of 0.020. The receiver-operating-characteristic"
01_wisconsin_bc,C021,numerical,0.019,L57,yes,yes,yes,,complete,exact,auto,"gave the best probability calibration (Brier score 0.019). For a feature set this separable, mod"
01_wisconsin_bc,C022,numerical,0.994,L11,outputs_md,yes,yes,,complete,exact,auto,"ression reached an AUC of 0.998 (95% CI 0.994–1.000), with sensitivity 0.938 (95% CI 0.850–"
01_wisconsin_bc,C023,numerical,1.000,L11,,yes,yes,,complete,exact,auto,"ression reached an AUC of 0.998 (95% CI 0.994–1.000), with sensitivity 0.938 (95% CI 0.850–"
01_wisconsin_bc,C024,numerical,0.850,L11,,yes,yes,,complete,exact,auto,"–1.000), with sensitivity 0.938 (95% CI 0.850–0.975) and specificity 0.991 (95% CI 0.949–0."
01_wisconsin_bc,C025,numerical,0.975,L11,,yes,yes,,complete,exact,auto,"–1.000), with sensitivity 0.938 (95% CI 0.850–0.975) and specificity 0.991 (95% CI 0.949–0."
01_wisconsin_bc,C026,numerical,0.949,L11,,yes,yes,,complete,exact,auto,"50–0.975) and specificity 0.991 (95% CI 0.949–0.998) at the 0.5 threshold, and a Brier scor"
01_wisconsin_bc,C027,numerical,0.998,L11,yes,yes,yes,,complete,exact,auto,"50–0.975) and specificity 0.991 (95% CI 0.949–0.998) at the 0.5 threshold, and a Brier scor"
01_wisconsin_bc,C028,numerical,1.000,L11,,yes,yes,,complete,exact,auto,forest reached an AUC of 0.996 (95% CI 0.991–1.000) and the support-vector machine an AUC
01_wisconsin_bc,C029,numerical,0.992,L11,outputs_md,yes,yes,,complete,exact,auto,-vector machine an AUC of 0.997 (95% CI 0.992–1.000). All three pairwise DeLong comparisons
01_wisconsin_bc,C030,numerical,1.000,L11,,yes,yes,,complete,exact,auto,-vector machine an AUC of 0.997 (95% CI 0.992–1.000). All three pairwise DeLong comparisons
01_wisconsin_bc,C031,numerical,0.994,L47,outputs_md,yes,yes,,complete,exact,auto,ression reached an AUC of 0.998 (95% CI 0.994–1.000). At the 0.5 probability threshold it c
01_wisconsin_bc,C032,numerical,1.000,L47,,yes,yes,,complete,exact,auto,ression reached an AUC of 0.998 (95% CI 0.994–1.000). At the 0.5 probability threshold it c
01_wisconsin_bc,C033,numerical,0.850,L47,,yes,yes,,complete,exact,auto,", giving a sensitivity of 0.938 (95% CI 0.850–0.975), a specificity of 0.991 (95% CI 0.949–"
01_wisconsin_bc,C034,numerical,0.975,L47,,yes,yes,,complete,exact,auto,", giving a sensitivity of 0.938 (95% CI 0.850–0.975), a specificity of 0.991 (95% CI 0.949–"
01_wisconsin_bc,C035,numerical,0.949,L47,,yes,yes,,complete,exact,auto,"–0.975), a specificity of 0.991 (95% CI 0.949–0.998), a positive predictive value of 0.984,"
01_wisconsin_bc,C036,numerical,0.998,L47,yes,yes,yes,,complete,exact,auto,"–0.975), a specificity of 0.991 (95% CI 0.949–0.998), a positive predictive value of 0.984,"
01_wisconsin_bc,C037,numerical,0.991,L49,yes,yes,yes,,complete,exact,auto,"forest reached an AUC of 0.996 (95% CI 0.991–1.000), with sensitivity 0.922 (95% CI 0.830–"
01_wisconsin_bc,C038,numerical,0.830,L49,,yes,yes,,complete,exact,auto,"–1.000), with sensitivity 0.922 (95% CI 0.830–0.966), specificity 1.000 (95% CI 0.965–1.000"
01_wisconsin_bc,C039,numerical,0.966,L49,,yes,yes,,complete,exact,auto,"–1.000), with sensitivity 0.922 (95% CI 0.830–0.966), specificity 1.000 (95% CI 0.965–1.000"
01_wisconsin_bc,C040,numerical,0.965,L49,,yes,yes,,complete,exact,auto,"0.830–0.966), specificity 1.000 (95% CI 0.965–1.000), and a Brier score of 0.029. The suppo"
